nom_hotel,ref_dossier,date_resa,date_depart,réseau,regroupement_réseau,adu,enf,dep,arr,destination,nts,brut_ttc,cie,achats_prev,comm.,marge_net
HOTEL 20,336848AA33,2025-01-23,2025-04-01,SA,B2B,2,0,BRU,RHO,RHODES,6,768.0,FR,572.904,112.22,82.876
HOTEL 20,534558AA53,2025-02-08,2025-04-01,CRELCEL,B2B,2,0,BRU,RHO,RHODES,7,778.0,FR,601.569,122.04,54.391000000000034
HOTEL 20,451838AA45,2025-01-02,2025-04-01,CRELCEL,B2B,2,0,BRU,RHO,RHODES,7,1068.0,FR,803.214,174.24,90.54599999999994
HOTEL 20,352838AA35,2025-01-03,2025-04-01,CRELCEL,B2B,2,0,BRU,RHO,RHODES,7,1068.0,FR,803.214,174.24,90.54599999999994
HOTEL 20,082268AA08,2025-02-23,2025-04-01,MACOMORP,B2C,2,0,BRU,RHO,RHODES,6,630.0,FR,580.1039999999999,0.0,49.89600000000007
HOTEL 20,202468AA20,2025-02-27,2025-04-01,TJ,B2C,2,0,BRU,RHO,RHODES,7,790.0,FR,644.769,0.0,145.231
HOTEL 20,335368AA33,2025-02-25,2025-04-03,TJ,B2C,2,0,NTE,RHO,RHODES,7,1072.0,TO,865.845,0.0,206.15499999999997
HOTEL 20,801878AA80,2025-03-31,2025-04-03,CRELCEL,B2B,2,0,NTE,RHO,RHODES,3,554.0,TO,529.785,73.8,-49.584999999999965
HOTEL 20,809148AA80,2025-01-11,2025-04-03,TJ,B2C,2,0,NTE,RHO,RHODES,7,989.88,TO,919.89,0.0,69.99000000000001
HOTEL 20,398558AA39,2025-02-09,2025-04-03,TJ,B2C,2,0,NTE,RHO,RHODES,7,1197.84,TO,1052.145,0.0,145.69499999999994
HOTEL 20,457768AA45,2025-03-06,2025-04-03,TJ,B2C,3,1,NTE,RHO,RHODES,7,2552.0,TO,1945.8899999999999,0.0,606.1100000000001
HOTEL 20,962768AA96,2025-03-05,2025-04-03,MACOMORP,B2C,4,0,NTE,RHO,RHODES,7,2400.16,TO,2161.8990000000003,0.0,238.2609999999995
HOTEL 20,944868AA94,2025-03-08,2025-04-03,CRELCEL,B2B,1,1,NTE,RHO,RHODES,3,654.0,TO,637.785,91.8,-75.58499999999997
HOTEL 20,354948AA35,2025-01-25,2025-04-03,CRELCEL,B2B,1,0,NTE,RHO,RHODES,14,1554.0,TO,800.181,260.28,493.539
HOTEL 20,575468AA57,2025-02-28,2025-04-03,CRELCEL,B2B,2,0,NTE,RHO,RHODES,7,978.0,TO,811.845,146.52,19.634999999999962
HOTEL 20,405848AA40,2025-01-23,2025-04-03,CRELCEL,B2B,2,0,NTE,RHO,RHODES,7,980.0,TO,806.4449999999999,137.52,36.03500000000005
